GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G1901630","2014","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",20943,19902,0,182,65,262,704,369,693,816,1814,1867,2062,2122,1832,1061,1117,1358,1182,1244,532,262,358,1041,"Scott County, Iowa",1655,1629,155,165,82,227,397,213,481,367,690,669,596,680,693,491,556,531,480,646,505,169,145,366
"G1901690","2014","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",17285,16789,60,121,234,198,116,681,348,320,605,1473,1176,1845,1674,1485,1370,1216,1308,1420,463,389,287,496,"Story County, Iowa",1564,1513,97,181,300,212,124,394,190,244,341,586,651,765,748,656,755,580,684,657,407,349,255,337
"G1901930","2014","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",13966,13527,137,338,101,487,632,314,1288,1173,1532,1205,1190,985,977,70,854,626,864,393,0,66,295,439,"Woodbury County, Iowa",1368,1370,155,356,76,276,361,298,479,670,640,603,451,469,468,98,531,465,504,407,155,83,198,220
"G2000150","2014","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",6093,5899,56,51,154,107,138,392,622,343,643,456,464,528,516,119,139,313,348,89,299,0,122,194,"Butler County, Kansas",908,913,99,86,203,155,126,289,469,214,306,366,270,430,390,123,159,331,294,109,292,168,150,149
"G2000450","2014","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",21429,21010,0,152,0,402,182,398,416,656,1510,1222,2024,1485,2374,2808,1454,2065,1907,799,559,520,77,419,"Douglas County, Kansas",1733,1666,168,178,168,521,192,247,266,405,606,529,803,613,1007,1119,784,904,807,413,345,378,127,325
"G2000910","2014","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",68480,66057,198,437,409,474,296,192,597,1725,1501,1946,3286,4396,5242,7064,6324,9243,6922,8491,3010,2626,1678,2423,"Johnson County, Kansas",2795,2692,251,317,224,355,255,164,450,747,652,730,889,1077,1077,1267,1247,1574,1619,1262,883,827,590,782
"G2001030","2014","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",8681,8375,45,32,0,183,274,240,508,261,214,682,549,458,805,167,301,499,640,368,589,1392,168,306,"Leavenworth County, Kansas",1187,1171,72,59,168,193,285,216,378,235,190,349,360,302,444,212,254,285,395,303,354,525,151,203
"G2001610","2014","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",15232,14536,199,188,141,118,436,176,287,171,640,270,751,1109,2188,728,1291,1240,718,2466,463,956,0,696,"Riley County, Kansas",1558,1583,224,177,177,185,344,152,309,154,397,241,461,512,853,468,741,696,468,856,290,528,168,485
"G2001730","2014","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",68982,65976,575,382,635,1017,1381,3182,5391,6558,4897,6448,6105,5696,5908,2803,3355,3563,2012,3227,1587,844,410,3006,"Sedgwick County, Kansas",3023,2812,351,443,374,471,510,780,1085,1225,946,1320,1280,1150,1336,813,878,923,606,1022,627,470,161,982
"G2001770","2014","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",23662,22623,367,157,78,690,573,747,875,2236,2086,1695,2275,2743,2281,999,1279,1033,426,508,456,582,537,1039,"Shawnee County, Kansas",1999,1927,357,154,103,518,340,466,449,709,683,537,592,941,842,436,591,565,274,371,339,310,327,453
