GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G06059444","2019","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",25977,24907,1070,"Rancho Cordova city, California",1426,1327,563
"G06059451","2019","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",61742,59497,2245,"Rancho Cucamonga city, California",3066,3037,1031
"G06059920","2019","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",40532,37757,2775,"Redding city, California",1447,1780,1101
"G06059962","2019","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",28283,26115,2168,"Redlands city, California",1863,1543,847
"G06060018","2019","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",28137,26360,1777,"Redondo Beach city, California",1762,1653,896
"G06060102","2019","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",33563,32199,1364,"Redwood City city, California",2168,2119,695
"G06060466","2019","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",25631,24751,880,"Rialto city, California",1482,1337,485
"G06060620","2019","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",39563,36634,2929,"Richmond city, California",2196,2045,1085
"G06062000","2019","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",91011,87189,3822,"Riverside city, California",3139,3049,1202
"G06062364","2019","CA",,,"California","06",,,"Rocklin city","62364",,,,,,,,,,,,,,,,"16000US0662364","Rocklin city, California",24416,23612,804,"Rocklin city, California",1319,1274,509
"G06062938","2019","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",56494,53093,3401,"Roseville city, California",2100,1722,1200
